?002724,0.607142857,23.875,1966,892,3.99,5000,4500,20,2,8.88,18.48,12.79,22.77,27.61,0.5957,117.76,198,0.6,0.18,2.86,0.13,55044.11,11.3035,10.0114,4.1954,0.36,2087.31,5.48,0.1,3.6,9
?002725,0.4,236,3714,814,4.02,2500,1500,10,1,15.36,19.19,22.12,16.52,16.56,1.7673,145.55,236,1.767307984,14.22475107,5.72,16.16,40172.4,6.275,4.29,4.1056,0.53,13820.87,1.95,0.71,13.04,1
?002726,0.666666667,315.75,3466,1798,4.98,5459,4913,21.5,2.15,9.79,14.46,14.1,19.58,23.01,0.8325,190.17,459,0.832,0.195979178,5.49,2.71,49800,12.37,9.332,31.5833,1.16,35828.35,3.19,0.71,13.7,7
?002727,0.85,55.6,2749,1311,7.49,6510,5859,26,2.6,12.2,21.07,17.57,13.45,19.38,0.6221,252.7,687,0.622085236,0.089680539,5.36,2.32,74926,20.728,10.501,35.4666,2.39,16467.74,6.28,1.234,25.99,9
?002728,0.475409836,1788.444444,2231,1432,3.22,2500,2250,10,1,14,21.42,20.16,17.5,34.48,0.3773,220.33,447,0.377296003,0.2062326,4.67,0.36,51281.26,4.535,3.501,3.4272,0.81,4111.95,2.05,1.07,25.67,8
?002729,0.142857143,468.4375,4644,862,1.7,1668,1501,6.5,0.65,11.9,80.38,17.14,19.29,44.44,0.3746,168.43,246,0.37459,0.12,3.66,0.29,28862,2.9407,1.8302,0.8622,0.17,2460.06,0.97,0.35,9.69,7
?002730,0.408333333,67.1875,1088,709,2.64,3667,3300,14.5,1.45,8.07,16.59,11.62,19.59,53.14,0.455,116.73,179,0.45501,0.16,4.53,0.25,26419,9.2212,4.9799,2.7861,0.26,12703,2.4,0.24,5.37,7
?002731,0.020833333,248.25,1002,530,4.09,3768,3391,14.5,1.45,11.92,23.31,17.16,17.28,25.45,0.6838,120.15,174,0.68,0.15,5.04,0.14,40870,14.1057,5.6919,17.9876,0.44,3142.28,3.99,0.39,8.01,10
?002732,0.435897436,307.3333333,1531,857,3.45,3935,3542,15,1.5,10.13,25.08,14.59,22.87,35.11,0.5398,113.26,160,0.54,0.17,3.16,0.13,37345.5,5.7198,3.8018,6.8942,0.65,1705.67,4.68,0.74,16.81,8
?002733,0.660493827,291.1,1456,1011,4,3400,3060,13.5,1.35,13.16,24.91,18.95,22.31,27.88,0.4968,120.31,185,0.5,0.15,6.55,0.14,59000,14.3714,6.88,9.27,1.65,16583.3,3.92,0.74,16.81,7
?002734,0.87755102,630.3076923,1366,814,2.27,2500,2250,10,1,10.69,29.66,15.39,22.98,36.7,0.7144,46.57,56,0.71,0.4,6.5,2.32,27029.55,9.2076,4.9575,5.6857,0.37,1705.67,4.68,0.74,16.81,8
?002735,0.555555556,182.1,2277,938,1.52,2000,1800,8,0.8,9.23,41.27,13.29,22.51,33.97,0.327,156.39,184,0.33,0.12,4.44,0.18,15172.54,4.1201,2.7806,3.3778,0.22,1705.67,4.68,0.74,16.81,11
?002736,0.37037037,3007,20374,3424,69.96,120000,60000,360,36,5.83,14.62,8.4,22.97,60.45,1.7972,41.23,254,1.8,1.97,3.06,0.05,122696.62,1091.3921,228.8854,9.27,1.65,1705.67,4.68,0.74,16.81,11
?002737,0.885245902,1851.230769,4871,1325,12.49,3650,3285,14.5,1.45,36.53,33.66,52.6,22.97,41.91,0.638,42.34,85,0.64,0.44,7.58,0.36,124889.5,23.6278,9.1668,18.5611,2.17,1705.67,4.68,0.74,16.81,3
?002739,1,996.5,1416,1530,12.4,6000,5400,18,1.8,21.35,80.3,30.74,22.96,65.18,0.8622,108.14,211,0.86,0.15,5.23,0.08,200000,42.8807,28.7827,38.9728,6.77,1705.67,4.68,0.74,16.81,11
?002740,0.791666667,250.25,6311,0,3.6,2500,2250,10,1,16.48,15.68,23.73,18.52,27.96,0.9416,19.96,27,0.94,1,6.53,0.21,35999.62,8.7199,5.1123,6.6754,0.62,1705.67,4.68,0.74,16.81,5
?002741,0.224489796,476.375,1290,1117,3.28,3000,2700,12,1.2,12.31,21.99,17.73,22.8,38.2,0.3979,97.73,111,0.4,0.1938,4.08,0.18,32800,6.9972,3.6698,7.7358,0.68,2695.13,2.29,0.75,19.82,7
?002742,0.957142857,275.875,2559,814,4.39,2400,2160,9.5,0.95,20.37,32.2,29.33,19.59,24.65,1.0508,27.53,31,1.05,0.6824,8.99,0.18,43912.9,14.5234,6.8815,12.7081,1.01,1705.67,4.68,0.74,16.81,5
?002743,0.382022472,171.625,3714,814,2.4,3034,2731,12,1.2,7.22,14.03,10.4,22.91,40.04,0.7721,43.6,53,0.7721,0.4297,4.79,2.32,122696.62,30.4584,5.4581,18.3481,0.41,1705.67,4.68,0.74,16.81,9
?002745,0.891304348,130,1236,432,8.76,4450,4005,12.5,1.25,21.5,31,30.96,22.5,53.19,1.1371,67.12,79,1.1371,0.2361,3.42,0.15,95239.76,51.9218,14.9777,40.0167,4.39,1705.67,4.68,0.74,16.81,5
?002746,0.791666667,144.625,2419,1265,1.72,3985,3587,15.5,1.55,5.28,37.2,7.6,22.96,110.1,0.3913,108.86,116,0.39,0.1701,6.72,0.14,30500,14.9832,8.0274,17.3469,0.44,25085.52,4.02,0.37,5.68,10
?002747,0.424,162.8,3315,1508,1.7,3000,2700,12,1.2,6.8,52.43,9.79,22.67,55.68,0.3913,156.81,171,0.3913,0.1208,2.99,0.09,18106.18,4.1986,2.7013,3.6668,0.24,2966.46,1.37,0.28,9.65,19
?002748,0.782312925,843.5,2932,1143,4.04,3000,2700,12,1.2,15.38,31.11,22.15,22.96,41.11,0.6055,31.73,36,0.6055,0.5952,5.82,0.18,48827.6,8.7064,5.2338,10.4789,0.82,7836.73,3.1,0.91,15.79,6
?002749,0.986394558,836.6,2169,814,3.45,1875,1350,7.5,0.75,26.92,68.93,38.76,16.47,41.49,0.6873,68.43,74,0.6873,2.1212,6.88,0.15,35535,4.9556,4.1293,5.8351,1.24,71.56,3.26,2.06,34.38,5
