,股票代码,网址,网上发行中签率,网下配售中签率,发行前每股净资产,首日换手率,投资金额总计,总资产,净资产,营业收入,净利润,资本公积,未分配利润,基本每股收益,净资产收益率
80,?300530,http://topic.eastmoney.com/dzhbkj/,error,error,4.83,error,18015.42,2.7352,2.5372,1.2165,0.38,4039.12,1.44,0.72,16.18
81,?600977,http://topic.eastmoney.com/zgdy2014/,error,error,3.42,error,466052,108.9148,54.4368,72.9653,10.36,59875.03,24.92,0.62,20.1
82,?601811,http://topic.eastmoney.com/xhwx/,error,error,6.11,error,141800,105.6789,68.9943,13.4198,1.64,207300.24,18.56,0.15,2.44
83,?300531,http://topic.eastmoney.com/ybxkj/,error,error,4.43,error,22447.12,3.4654,2.8079,0.7417,0.15,2062.04,1.91,error,6.89
84,?300528,http://topic.eastmoney.com/xflh/,error,error,5.52,error,109825.3,18.0896,13.2112,3.6329,0.18,55351.75,4.84,error,error
85,?300527,http://topic.eastmoney.com/hzzg/,error,error,2.64,error,78327,22.4682,9.1962,2.4722,0.02,29019.12,2.42,error,error
86,?300529,http://topic.eastmoney.com/ZHJFSWKJ/,error,error,1.52,error,43792.9,7.2347,6.1096,1.256,0.47,12.59,1.74,error,error
87,?300526,http://topic.eastmoney.com/zqgf/,error,error,4.21,error,25164.36,6.0074,2.7686,0.8735,0.09,421.59,1.86,error,error
88,?600919,http://topic.eastmoney.com/JSYHIPO/,error,error,6.27,error,712915.49,12903.3334,655.3456,280.4707,95.05,1009737.3,192.51,error,15.72
89,?603663,http://topic.eastmoney.com/sxxc/,error,error,2.37,error,26750,3.0248,2.468,0.6427,0.08,4259.2,0.87,error,error
90,?603322,http://topic.eastmoney.com/CXJS2014/,error,error,3.99,error,27215.44,6.4296,2.4007,1.3461,0,6455.45,1.07,error,error
91,?300525,http://topic.eastmoney.com/fjbsrj/,error,error,4.51,error,17033.9,2.5467,2.3168,0.2335,0.02,4107.86,1.25,error,error
92,?002806,http://topic.eastmoney.com/hfdz/,error,error,3.77,error,16269.43,4.4654,2.2949,0.6862,0.03,321.59,1.49,error,error
93,?300523,http://topic.eastmoney.com/cakj/,error,error,5.25,error,39877.51,7.7814,3.4023,4.1302,0.92,8665.92,1.58,1.3,27.59
94,?300517,http://topic.eastmoney.com/hbzxgckj/,error,error,4.19,error,error,7.3711,3.2211,3.7574,0.45,6261.71,1.61,error,error
95,?002803,http://topic.eastmoney.com/jhbzkj2014/,error,error,2.94,error,25144,6.2025,2.7267,error,error,3596.53,1.28,error,error
96,?603069,http://topic.eastmoney.com/hqys/,error,error,2.95,error,46151,14.5602,7.0628,12.3796,0.7,16684.65,2.35,0.29,10.41
97,?300520,http://topic.eastmoney.com/kdgcrjipo/,error,error,3.85,error,25413,4.3594,2.6371,error,error,6357.07,1.21,error,error
98,?002805,http://topic.eastmoney.com/sdfyhxipo/,error,error,5.67,error,27407.11,4.6923,4.1197,error,error,7239.6,2.34,error,error
99,?300521,http://topic.eastmoney.com/ask/,error,error,3.83,error,20850,2.9108,2.3583,0.3485,0.06,3513.46,1.32,error,2.52
100,?300522,http://topic.eastmoney.com/smkj/,error,error,4.56,error,32112.13,3.191,2.2815,2.2487,0.55,1882.31,1.38,error,27.32
101,?601966,http://topic.eastmoney.com/lllt/,error,error,4.36,error,258508,165.8184,43.6812,87.337,6.77,37135.11,26.38,0.68,15.25
102,?603016,http://topic.eastmoney.com/XHTDQKJ2014/,error,error,4.12,error,29015.2,5.7508,4.8788,error,error,2165,3.01,error,error
103,?002802,http://topic.eastmoney.com/hhxc/,error,error,3.47,error,36338.96,3.5362,2.935,0.6529,0.12,3163.89,1.62,error,4.25
104,?603958,http://topic.eastmoney.com/hssm/,error,error,3.93,error,67172.8,12.2481,6.9196,4.6546,0.33,6719.9,3.94,error,error
105,?603909,http://topic.eastmoney.com/hcgc/,error,error,3.98,error,22278.45,3.9843,3.1281,error,error,1715.11,2.05,error,error
106,?300518,http://topic.eastmoney.com/SXDKJIPO/,error,error,6.94,error,error,5.1945,4.8554,2.0374,0.92,5055.61,3.3,error,error
107,?002801,http://topic.eastmoney.com/wgdz/,error,error,9.29,error,24646,5.178,4.2947,error,error,4142.86,3.08,error,error
108,?300519,http://topic.eastmoney.com/xgyy/,error,error,5.16,error,21178,3.9961,3.4764,error,error,4782.85,2.03,error,error
109,?601127,http://topic.eastmoney.com/cqxkgy/,error,error,3.46,error,135180,124.3873,31.9682,105.5448,3.89,48388.03,12.9,0.5,15.67
