,网上发行中签率,网下配售中签率,发行前每股净资产,首日换手率,投资金额总计,总资产,净资产,营业收入,净利润,资本公积,未分配利润,基本每股收益,净资产收益率
http://topic.eastmoney.com/jfat/,,&nbsp;,4.46,-,35442.58,3.1745,2.6957,0.8097,0.3,2081.02,1.67,-,11.64
http://topic.eastmoney.com/XHWIPO/,,&nbsp;,7.33,-,149733.99,18.1375,11.4067,5.3218,1.02,23866.26,6.38,-,9.27
http://topic.eastmoney.com/dhwl/,,&nbsp;,3.1,-,87253.62,7.8206,5.5873,2.4732,1.4,1465.8,2.76,0.79,29.13
http://topic.eastmoney.com/hzyh/,,&nbsp;,14.38,-,361056.2,5668.8899,339.0749,68.0298,23.13,802252.8,136.04,1,7.14
http://topic.eastmoney.com/wzxcjt/,,&nbsp;,4.56,-,62550,13.6379,7.5082,5.2791,0.45,21430.37,3.03,0.29,6.63
http://topic.eastmoney.com/shkdjm/,,&nbsp;,4.27,-,24159.89,4.8221,3.2029,1.5167,0.12,5612.69,1.83,0.16,3.92
http://topic.eastmoney.com/nkjnjs/,,&nbsp;,5.05,-,45222.11,5.3507,4.4131,0.8253,0.05,12962.06,2,0.07,1.45
http://topic.eastmoney.com/wjkjgf/,,&nbsp;,5.38,-,27610,7.7696,4.3073,2.9069,0.35,9206.59,2.35,0.44,8.46
http://topic.eastmoney.com/hzjzjd/,,&nbsp;,4.59,-,20716.38,1.8383,1.6528,0.5239,0.15,4179.08,0.76,-,9.58
http://topic.eastmoney.com/RHKJ2014/,,&nbsp;,3.87,-,54837.39,3.9601,2.3704,0.9559,0.17,3297.9,1.27,-,8
http://topic.eastmoney.com/ltsx/,,&nbsp;,4.87,-,35368.35,4.9316,2.9196,1.6228,0.24,2844.85,1.81,0.41,8.87
http://topic.eastmoney.com/hdkj/,,&nbsp;,2.86,-,90532,17.9052,13.7801,12.109,3.04,3422.9,8.22,-,-
http://topic.eastmoney.com/SHGADZKJIPO/,,&nbsp;,4.96,-,28078,4.4159,2.8728,1.1238,0.15,4448.42,1.71,0.27,5.21
http://topic.eastmoney.com/gjjuipo/,,&nbsp;,3.53,-,195679.17,26.5317,11.7823,20.1195,2.75,10336.65,5.46,-,24.81
http://topic.eastmoney.com/hkjjkj/,,&nbsp;,3.78,-,86666.92,10.7246,6.8258,7.7501,0.8,8741.54,3.65,0.45,12.18
http://topic.eastmoney.com/BCKJIPO/,,&nbsp;,4.84,-,19701.73,3.8216,3.1946,1.5059,0.32,4602.24,1.85,-,10.2
http://topic.eastmoney.com/lyf2012/,,&nbsp;,6.38,-,67407,17.4395,11.4783,17.0425,0.69,38897.08,5.46,0.38,6.22
http://topic.eastmoney.com/lckj/,,&nbsp;,5.36,-,47849.8,10.259,4.8265,3.8323,0.27,6765.49,2.92,-,5.7
http://topic.eastmoney.com/qddxtx/,,&nbsp;,2.94,-,84596.93,13.4981,11.5693,5.122,0.78,2031.28,6.24,-,7.14
http://topic.eastmoney.com/cdgf2012/,error,error,error,error,error,error,error,error,error,error,error,error,error
http://topic.eastmoney.com/shzdjsipo/,,&nbsp;,5.32,-,35310.58,7.4931,3.9132,3.2574,0.4,9337.96,2.06,-,10.75
http://topic.eastmoney.com/chkj/,,&nbsp;,6.31,-,30589,5.2754,3.1918,2.3752,0.36,3170,2.2,-,12.02
http://topic.eastmoney.com/csncsyyh/,,&nbsp;,4.28,-,91117.66,1223.8343,91.0453,21.0349,5.52,501.3,17.58,0.26,6.34
http://topic.eastmoney.com/ydjmgy/,,&nbsp;,3.73,-,22374,3.7172,1.8651,1.6422,0.2,3910.73,0.82,0.4,11.24
http://topic.eastmoney.com/xdkjgf2012/,,&nbsp;,6.98,-,29982.11,3.9214,2.9828,1.016,0.19,1031.19,2.24,-,-
http://topic.eastmoney.com/hbtjdzkjipo/,,&nbsp;,5.51,-,23552,5.3396,3.276,1.6368,0.28,4836.74,1.6,0.5,9.22
http://topic.eastmoney.com/ldzb/,,&nbsp;,4.4,-,35774.09,3.2712,2.3556,1.1437,0.16,3263.14,1.33,0.3,6.96
http://topic.eastmoney.com/wxncsyyh/,,&nbsp;,4.47,-,78931.78,1164.5622,75.4303,5.9362,2.12,37039.54,3.67,-,2.94
http://topic.eastmoney.com/nshj/,,&nbsp;,3.83,-,17701.8,5.349,2.9154,1.8077,0.24,6173.13,1.44,-,8.66
http://topic.eastmoney.com/tykj/,,&nbsp;,2.89,-,80876.93,32.6995,16.4016,15.2107,0.83,10751.33,8.41,-,5.16
http://topic.eastmoney.com/XCKJIPO/,,&nbsp;,5.59,-,22737,5.0091,3.7797,1.827,0.07,6433.12,2.12,-,1.82
http://topic.eastmoney.com/wdrjgf/,,&nbsp;,&nbsp;,-,74667.39,4.087,3.535,0.8646,0.15,4887.31,1.2,0.09,4.38
http://topic.eastmoney.com/xjstxx/,,&nbsp;,4.12,-,47810.96,7.9982,3.7042,3.8122,0.25,8016.73,1.8,-,7.06
http://topic.eastmoney.com/HBZHHXIPO/,,&nbsp;,4.32,-,36546,9.8251,7.1198,4.1082,0.46,16483.49,3.39,-,6.7
